cod_distrito,distrito,calidad_vida,percepcion_seguridad,satisfaccion_vivir_distrito,tasa_intervenciones_policia,amigable_lgbt,tasa_demandas_cai,tasa_personas_atendidas_ss,tasa_ayuda_domicilio,tasa_residencias,tasa_centros_ss,tasa_riesgo_pobreza_infantil
1.0,Centro,7.36,7.65,7.73,38.95,8.08,0.6005293555059645,28.684544153735516,17.47466285095751,0.029655770642269853,0.014827885321134927,29.7
2.0,Arganzuela,7.79,6.71,8.13,5.27,7.8,0.3380354937268413,30.689722420854192,14.360007800819085,0.052005460573360196,0.0065006825716700245,13.5
3.0,Retiro,8.03,6.5,8.22,2.36,8.05,0.41045745064039735,14.3911408204123,11.819499241910219,0.0418834133306528,0.008376682666130559,9.2
4.0,Salamanca,7.75,6.98,7.82,7.01,8.28,0.28737991624928155,23.77726688014889,13.315269452883378,0.06842378958316227,0.006842378958316227,12.2
5.0,Chamartín,8.05,7.49,8.4,3.0,8.31,0.2742261680320845,23.192678161313545,11.510643403146746,0.10283481301203168,0.013711308401604222,9.2
6.0,Tetuán,6.71,7.03,6.65,5.45,7.95,0.8864293990641838,32.32301487301899,21.52757112013018,0.02532655425897668,0.01266327712948834,31.9
7.0,Chamberí,8.0,6.77,7.91,3.4,8.01,0.4230967815960071,20.05765590040732,16.163731283345765,0.043026791348746485,0.007171131891457748,12.1
8.0,Fuencarral - El Pardo,7.58,6.17,7.36,1.6,8.19,0.53247487003142,11.328301242576853,20.96975461444348,0.04877632397234383,0.008129387328723972,11.7
9.0,Moncloa - Aravaca,7.95,7.08,8.1,6.41,7.56,0.5107893789303568,23.295345117774634,18.99969017693409,0.21771350577359472,0.01674719275181498,12.5
10.0,Latina,6.86,7.3,6.85,2.46,8.45,0.9699606137205338,30.33751270186518,40.06651158494084,0.025193782174559316,0.012596891087279658,32.0
11.0,Carabanchel,6.62,6.65,6.84,4.21,7.57,0.9761302560859942,28.754347138792287,34.75735061650332,0.055327220992728424,0.011855833069870376,36.7
12.0,Usera,6.18,6.23,6.01,6.75,7.31,1.1684504053734384,29.275775800890315,38.100085304048,0.043010444369574415,0.014336814789858137,43.7
13.0,Puente de Vallecas,6.0,6.52,6.54,6.05,5.76,1.2182135707287982,66.38838011670997,30.992034757422157,0.02555692805724752,0.01703795203816501,45.8
14.0,Moratalaz,7.64,6.72,7.86,3.29,8.18,0.7504571446691118,24.786225411958696,30.92729021551861,0.05284909469500787,0.010569818939001574,25.8
15.0,Ciudad Lineal,6.95,6.8,6.69,5.5,8.72,0.5086234799093726,25.773338881953116,29.194987746797985,0.02311924908678966,0.009247699634715863,24.2
16.0,Hortaleza,7.57,6.64,7.52,1.89,7.86,0.3930587941593588,21.442950702990967,22.122836184780127,0.07967407989716732,0.010623210652955644,13.3
17.0,Villaverde,5.63,6.08,5.5,5.29,5.94,1.1284028398138135,25.13382992013863,30.903461107043785,0.026866734281281276,0.013433367140640638,41.8
18.0,Villa de Vallecas,6.9,6.52,7.13,8.5,6.9,0.47991596943025827,29.963055525372162,14.877395052338006,0.03622007316454779,0.009055018291136948,27.3
19.0,Vicálvaro,7.21,6.36,7.26,2.61,7.92,0.7625544186562404,38.945733854643265,22.793444804924718,0.013864625793749828,0.027729251587499656,24.8
20.0,San Blas - Canillejas,7.03,6.84,6.78,5.43,7.62,0.9294032851561018,40.457494025264594,31.34681284220376,0.05057977062074023,0.012644942655185058,24.0
21.0,Barajas,8.09,5.99,7.9,9.19,7.75,0.5104957935146615,24.238340276076123,10.454953851180266,0.06125949522175937,0.020419831740586456,12.0
