cod_distrito,año,area_inversion,total_invertido
1.0,2012,Cultura,6220891.600000001
1.0,2012,"Deportes, juventud y esparcimiento",27813722.14
1.0,2012,Educación,2828895.36
1.0,2012,Inversiones de carácter general,344577.32
1.0,2012,Mantenimiento urbano,3207506.34
1.0,2012,Otros bienes públicos de carácter social,19088.7
1.0,2012,Protección Civil y seguridad ciudadana,188939.34
1.0,2012,Protección y promoción social,872629.5
1.0,2012,Salud pública,3417924.46
1.0,2012,"Tráfico, estacionamiento y transporte público",190021.34
1.0,2012,Urbanismo,7657633.74
1.0,2013,Cultura,1523461.3
1.0,2013,"Deportes, juventud y esparcimiento",22255891.82
1.0,2013,Educación,940557.24
1.0,2013,Inversiones de carácter general,3384494.94
1.0,2013,Mantenimiento urbano,2845932.06
1.0,2013,Protección Civil y seguridad ciudadana,10693.6
1.0,2013,Protección y promoción social,332186.5
1.0,2013,Salud pública,120396.76
1.0,2013,"Tráfico, estacionamiento y transporte público",395943.42
1.0,2013,Urbanismo,368603.48
1.0,2014,Cultura,3007611.12
1.0,2014,"Deportes, juventud y esparcimiento",25006280.32
1.0,2014,Educación,1333016.56
1.0,2014,Inversiones de carácter general,3752352.5
1.0,2014,Mantenimiento urbano,1551266.04
1.0,2014,Medio ambiente,132087.42
1.0,2014,Protección Civil y seguridad ciudadana,388613.48
1.0,2014,Protección y promoción social,1765431.32
1.0,2014,Salud pública,196402.0
1.0,2014,Sectores productivos,493775.12
1.0,2014,"Tráfico, estacionamiento y transporte público",40528.02
1.0,2014,Urbanismo,4180022.74
1.0,2015,Cultura,2321098.2
1.0,2015,"Deportes, juventud y esparcimiento",301978.22
1.0,2015,Educación,1815728.92
1.0,2015,Inversiones de carácter general,5594243.2
1.0,2015,Mantenimiento urbano,3156949.1
1.0,2015,Medio ambiente,37212.58
1.0,2015,Otros bienes públicos de carácter social,3862.48
1.0,2015,Protección Civil y seguridad ciudadana,7273071.62
1.0,2015,Protección y promoción social,1799942.74
1.0,2015,Salud pública,198332.34
1.0,2015,Sectores productivos,548654.3
1.0,2015,"Tráfico, estacionamiento y transporte público",176643.3
