cod_distrito,distrito,edad_media,numero_habitantes,densidad_poblacion,proporcion_envejecimiento,proporcion_migrantes,indice_dependencia
1.0,Centro,44.03,134881.0,258.0,16.05,12.54,32.15
2.0,Arganzuela,44.55,153830.0,238.0,19.27,6.5,46.81
3.0,Retiro,47.04,119379.0,218.0,25.76,4.31,62.09
4.0,Salamanca,46.24,146148.0,271.0,23.89,7.14,54.41
5.0,Chamartín,45.39,145865.0,159.0,23.28,5.49,58.97
6.0,Tetuán,44.13,157937.0,294.0,19.33,14.96,45.03
7.0,Chamberí,46.34,139448.0,298.0,24.18,6.19,53.97
8.0,Fuencarral - El Pardo,42.87,246021.0,10.0,20.8,5.58,63.31
9.0,Moncloa - Aravaca,44.57,119423.0,26.0,21.9,6.5,57.28
10.0,Latina,46.49,238154.0,94.0,24.79,11.5,59.3
11.0,Carabanchel,43.44,253040.0,180.0,19.24,15.03,51.53
12.0,Usera,42.26,139501.0,179.0,17.08,18.91,48.61
13.0,Puente de Vallecas,43.23,234770.0,157.0,17.86,14.17,46.63
14.0,Moratalaz,47.55,94609.0,155.0,26.05,6.23,61.1
15.0,Ciudad Lineal,45.78,216270.0,189.0,22.83,10.28,55.26
16.0,Hortaleza,42.28,188267.0,69.0,18.61,5.77,57.22
17.0,Villaverde,42.08,148883.0,74.0,17.4,15.41,51.5
18.0,Villa de Vallecas,38.83,110436.0,21.0,12.48,7.66,46.59
19.0,Vicálvaro,40.75,72126.0,20.0,14.45,6.77,49.56
20.0,San Blas - Canillejas,43.14,158166.0,71.0,17.57,8.06,49.48
21.0,Barajas,41.73,48972.0,12.0,17.77,5.22,56.48
