Año,Nombre Área,Inversión,Presupuesto año en curso,Presupuesto total
2020,CHAMBERÍ,,2755347.0,2869875.42
2020,CHAMBERÍ,PISCINA CUBIERTA C/CEA BERMUDEZ. CONSTRUCCIÓN,2755347.0,2869875.42
2020,VILLA DE VALLECAS,,44090819.9,117823829.98
2020,VILLA DE VALLECAS,PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ. SISTEMAS DE DESODORIZACIÓN BIOMETANIZACION,7514134.0,8066478.0
2020,VILLA DE VALLECAS,NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ,317250.0,33703373.0
2020,VILLA DE VALLECAS,VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 4,4500000.0,7184116.0
2020,VILLA DE VALLECAS,VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 1,2705883.6,9019612.0
2020,VILLA DE VALLECAS,VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 3,2180365.5,7267885.0
2020,VILLA DE VALLECAS,VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 2,2180365.8,7267886.0
2020,VILLA DE VALLECAS,UNIDAD INTEGRAL DE POLICÍA MUNICIPAL VILLA DE VALLECAS. CONSTRUCCIÓN,150000.0,4550000.0
2020,VILLA DE VALLECAS,CENTRO DE SERVICIOS SOCIALES ENSANCHE DE VALLECAS. CONSTRUCCIÓN,5454721.0,5900075.86
2020,VILLA DE VALLECAS,ENSANCHE DE VALLECAS. ACONDICIONAMIENTO DE CAMINOS Y ZONAS ESTANCIALES,536600.0,3053600.0
2020,VILLA DE VALLECAS,PLANTA BIOMETANIZACIÓN LAS DEHESAS . ADAPTACIÓN A RESIDUOS FORS,1816838.0,4306970.81
2020,VILLA DE VALLECAS,"PARQUE DE LA GAVIA, DISTRITO VILLA DE VALLECAS. OBRAS DE REHABILITACIÓN",8698519.0,17744782.5
2020,VILLA DE VALLECAS,INSTALACIÓN DEPORTIVA ENSANCHE DE VALLECAS (PAU VALLECAS). CONSTRUCCIÓN,8036143.0,9759050.81
2020,PUENTE DE VALLECAS,,20766197.89,54387954.89
2020,PUENTE DE VALLECAS,"CASA DE LA JUVENTUD C/ RÍO ESMERALDA, 15. CONSTRUCCIÓN",1505847.0,2025994.23
2020,PUENTE DE VALLECAS,VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN SAN FRANCISCO JAVIER VI,5000000.0,9088089.66
2020,PUENTE DE VALLECAS,CENTRO DE SERVICIOS SOCIALES SAN DIEGO. AMPLIACIÓN,1854680.0,2072095.98
2020,PUENTE DE VALLECAS,VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN NTRA. SRA. DE LOS ANGELES 11,1572601.62,7902465.32
2020,PUENTE DE VALLECAS,VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN NTRA. SRA. DE LOS ANGELES 12,2412503.97,5957523.99
2020,PUENTE DE VALLECAS,INIDAD INTEGRAL DE POLICIA MUNICIPAL Y SAMUR PUENTE DE VALLECAS. CONSTRUCCIÓN,450000.0,5850000.0
2020,PUENTE DE VALLECAS,EDIFICIO SEDE DEL DISTRITO DE PUENTE DE VALLECAS. CONSTRUCCIÓN,300000.0,6800000.0
2020,PUENTE DE VALLECAS,APR 13.01 SIERRA TOLEDANA. URBANIZACIÓN,3565960.0,5160696.29
