Número de Viviendas;Promoción;CODDIS;Distrito ;Año;Consecución
136;LA FOSFORERA;11;Carabanchel;1983;Promociones construidas por la EMVS
66;MIGUEL SERVET (CORRALA);1;Centro;1983;Edificios rehabilitados integralmente
72;MOLINO DE VIENTO I;10;Latina;1983;Promociones construidas por la EMVS
128;POLIGONO 43 I FASE;13;Puente de Vallecas;1983;Promociones construidas por la EMVS
16;PLAZA DE LA CEBADA;1;Centro;1984;Promociones construidas por la EMVS
48;REMONTA I;6;Tetuán;1985;Promociones construidas por la EMVS
10;ABADES, 18;1;Centro;1987;Edificios rehabilitados integralmente
12;ABADES, 5;1;Centro;1987;Edificios rehabilitados integralmente
15;AMPARO, 11;1;Centro;1987;Edificios rehabilitados integralmente
6;DOS HERMANAS, 15;1;Centro;1987;Edificios rehabilitados integralmente
10;EMBAJADORES, 16;1;Centro;1987;Edificios rehabilitados integralmente
8;MEDIODIA GRANDE, 20;1;Centro;1987;Edificios rehabilitados integralmente
7;MIRA EL RIO ALTA, 9;1;Centro;1987;Edificios rehabilitados integralmente
3;PAZ, 8;1;Centro;1987;Edificios rehabilitados integralmente
25;PLAZA CASCORRO, 11;1;Centro;1987;Edificios rehabilitados integralmente
25;RIBERA C., 13 / S.CAYENTANO, 10;1;Centro;1987;Edificios rehabilitados integralmente
8;RIBERA C.5,7 Y 9 EXT / S.CAYETANO,8;1;Centro;1987;Edificios rehabilitados integralmente
37;RIBERA DE CURTIDORES,3/S.CAYETANO,6;1;Centro;1987;Edificios rehabilitados integralmente
7;RODRIGO DE GUEVARA, 4;1;Centro;1987;Edificios rehabilitados integralmente
37;SAN MELITON;11;Carabanchel;1988;Promociones construidas por la EMVS
14;ALAMILLO, 2;1;Centro;1988;Edificios rehabilitados integralmente
7;JARDINES, 17;1;Centro;1988;Edificios rehabilitados integralmente
8;MOLINO DE VIENTO, 24;1;Centro;1988;Edificios rehabilitados integralmente
3;RIBERA DE CURTIDORES 9;1;Centro;1988;Edificios rehabilitados integralmente
39;RIBERA DE CURTIDORES, 6 Y 8;1;Centro;1988;Edificios rehabilitados integralmente
130;AVENIDA DE BADAJOZ;15;Ciudad Lineal;1988;Promociones construidas por la EMVS
32;ULISES;15;Ciudad Lineal;1988;Promociones construidas por la EMVS
108;ISLAS CIES I Y II;8;Fuencarral - El Pardo;1988;Promociones construidas por la EMVS
28;MAR DE KARA;16;Hortaleza;1988;Promociones construidas por la EMVS
76;JOSE DE CADALSO;10;Latina;1988;Promociones construidas por la EMVS
60;POLIGONO 38 I;14;Moratalaz;1988;Promociones construidas por la EMVS
92;POLIGONO 43 II FASE;13;Puente de Vallecas;1988;Promociones construidas por la EMVS
96;POLIGONO 43 III FASE;13;Puente de Vallecas;1988;Promociones construidas por la EMVS
53;NUMANCIA 14 - 16;6;Tetuán;1988;Promociones construidas por la EMVS
34;REMONTA II;6;Tetuán;1988;Promociones construidas por la EMVS
32;VILLAVERDE-VALLECAS (PEMAS);17;Villaverde;1988;Promociones construidas por la EMVS
24;CARRERA SAN FRANCISCO, 15;1;Centro;1989;Edificios rehabilitados integralmente
25;EMBAJADORES, 46;1;Centro;1989;Edificios rehabilitados integralmente
15;SANTA LUCIA, 4;1;Centro;1989;Edificios rehabilitados integralmente
35;CARRERA DE SAN FRANCISCO;1;Centro;1989;Promociones construidas por la EMVS
40;POLIGONO 38 II;14;Moratalaz;1989;Promociones construidas por la EMVS
80;POLIGONO PLATA Y CASTAÑAR;17;Villaverde;1989;Promociones construidas por la EMVS
6;MONSEÑOR OSCAR ROMERO, 18;11;Carabanchel;1990;Edificios rehabilitados integralmente
35;EUGENIA DE MONTIJO I;11;Carabanchel;1990;Promociones construidas por la EMVS
37;EUGENIA DE MONTIJO II;11;Carabanchel;1990;Promociones construidas por la EMVS
41;EUGENIA DE MONTIJO III;11;Carabanchel;1990;Promociones construidas por la EMVS
20;NUESTRA SRA. DE FATIMA;11;Carabanchel;1990;Promociones construidas por la EMVS
10;AMPARO, 71;1;Centro;1990;Edificios rehabilitados integralmente
7;MADERA, 43;1;Centro;1990;Edificios rehabilitados integralmente
15;SAN HERMENEGILDO, 20;1;Centro;1990;Edificios rehabilitados integralmente
20;CALATRAVA;1;Centro;1990;Promociones construidas por la EMVS
47;EMBAJADORES 37;1;Centro;1990;Promociones construidas por la EMVS
26;MESON DE PAREDES 39/ AMPARO 28;1;Centro;1990;Promociones construidas por la EMVS
41;SAN BERNABE;1;Centro;1990;Promociones construidas por la EMVS
42;ISLA TABARCA;8;Fuencarral - El Pardo;1990;Promociones construidas por la EMVS
48;MOTA DEL CUERVO;16;Hortaleza;1990;Promociones construidas por la EMVS
32;OLIMPO MOSCATELAR;16;Hortaleza;1990;Promociones construidas por la EMVS
64;GENERAL SALIQUET;10;Latina;1990;Promociones construidas por la EMVS
62;POLIGONO 38 VIII;14;Moratalaz;1990;Promociones construidas por la EMVS
80;POLIGONO 38 III;14;Moratalaz;1990;Promociones construidas por la EMVS
48;POLIGONO 38 IV;14;Moratalaz;1990;Promociones construidas por la EMVS
62;POLIGONO 38 VII;14;Moratalaz;1990;Promociones construidas por la EMVS
4;ALONSO NUÑEZ, 23;6;Tetuán;1990;Promociones construidas por la EMVS
33;FRANCOS RODRIGUEZ-NUMANCIA,61;6;Tetuán;1990;Promociones construidas por la EMVS
9;REMONTA IV;6;Tetuán;1990;Promociones construidas por la EMVS
81;LA CHIMENEA I;12;Usera;1990;Promociones construidas por la EMVS
4;ABADES, 14;1;Centro;1991;Edificios rehabilitados integralmente
12;ENCOMIENDA, 3/DOS HERMANAS, 4;1;Centro;1991;Edificios rehabilitados integralmente
5;HUERTAS, 62;1;Centro;1991;Edificios rehabilitados integralmente
19;MADERA, 24-26;1;Centro;1991;Edificios rehabilitados integralmente
7;PALMA, 31;1;Centro;1991;Edificios rehabilitados integralmente
10;SAN ANDRES, 21;1;Centro;1991;Edificios rehabilitados integralmente
27;SAN CAYETANO 8;1;Centro;1991;Edificios rehabilitados integralmente
42;TRIBULETE, 12-SOMBRERETE, 13;1;Centro;1991;Edificios rehabilitados integralmente
7;ISLAS VIRGENES, 3-5;8;Fuencarral - El Pardo;1991;Edificios rehabilitados integralmente
30;TIBERIADES;16;Hortaleza;1991;Promociones construidas por la EMVS
258;POLIGONO 38 (IX);14;Moratalaz;1991;Promociones construidas por la EMVS
60;POLIGONO 38 V;14;Moratalaz;1991;Promociones construidas por la EMVS
62;POLIGONO 38 VI;14;Moratalaz;1991;Promociones construidas por la EMVS
108;LA VIÑA I;13;Puente de Vallecas;1991;Promociones construidas por la EMVS
